Device A,,Device B,
With,Without,With,Without
7:55:14,4:15:06,7:07:43,4:32:37
7:52:30,4:42:38,7:30:13,4:37:38
8:12:45,5:02:38,7:27:30,4:34:07
8:10:14,4:57:38,7:47:45,4:57:38
8:12:46,5:02:38,7:40:15,4:40:08
8:02:45,4:37:36,7:37:44,4:25:06
7:57:45,4:45:07,7:27:44,4:37:37
8:05:15,4:20:06,7:35:14,3:57:36
8:00:00,4:12:36,7:32:44,4:02:36
7:57:45,4:15:54,7:25:14,4:07:36
8:02:45,4:32:36,7:32:44,4:22:30
7:22:44,4:27:36,7:10:13,4:22:37
8:05:15,4:30:07,7:37:44,3:52:00
7:45:15,4:25:00,7:42:44,4:32:37
7:52:44,4:15:06,7:32:44,4:07:36
