category,total single core,total multi core,Integer single core,Integer multi core,AES single core (Integer),AES single core (Integer) MB/sec,AES multi core (Integer),AES multi core (Integer) MB/sec,Twofish single core (Integer),Twofish single core (Integer) MB/sec,Twofish multi core (Integer),Twofish multi core (Integer) MB/sec,SHA1 single core (Integer),SHA1 single core (Integer) MB/sec,SHA1 multi core (Integer),SHA1 multi core (Integer) MB/sec,SHA2 single core (Integer),SHA2 single core (Integer) MB/sec,SHA2 multi core (Integer),SHA2 multi core (Integer) MB/sec,BZip2 Compress single core (Integer),BZip2 Compress single core (Integer) MB/sec,BZip2 Compress multi core (Integer),BZip2 Compress multi core (Integer) MB/sec,BZip2 Decompress single core (Integer),BZip2 Decompress single core (Integer) MB/sec,BZip2 Decompress multi core (Integer),BZip2 Decompress multi core (Integer) MB/sec,JPEG Compress single core (Integer),JPEG Compress single core (Integer) Mpixels/sec,JPEG Compress multi core (Integer),JPEG Compress multi core (Integer) Mpixels/sec,JPEG Decompress single core (Integer),JPEG Decompress single core (Integer) Mpixels/sec,JPEG Decompress multi core (Integer),JPEG Decompress multi core (Integer) Mpixels/sec,PNG Compress single core (Integer),PNG Compress single core (Integer) Kpixels/sec,PNG Compress multi core (Integer),PNG Compress multi core (Integer) Kpixels/sec,PNG Decompress single core (Integer),PNG Decompress single core (Integer) Mpixels/sec,PNG Decompress multi core (Integer),PNG Decompress multi core (Integer) Mpixels/sec,Sobel single core (Integer),Sobel single core (Integer) Mpixels/sec,Sobel multi core (Integer),Sobel multi core (Integer) Mpixels/sec,Lua single core (Integer),Lua single core (Integer) KB/sec,Lua multi core (Integer),Lua multi core (Integer) KB/sec,Dijkstra single core (Integer),Dijkstra single core (Integer) Mpairs/sec,Dijkstra multi core (Integer),Dijkstra multi core (Integer) Mpairs/sec,Floating Point single core,Floating Point multi core,BlackScholes single core (Floating Point),BlackScholes single core (Floating Point) Mnodes/sec,BlackScholes multi core (Floating Point),BlackScholes multi core (Floating Point) Mnodes/sec,Mandelbrot single core (Floating Point),Mandelbrot single core (Floating Point) Mflops,Mandelbrot multi core (Floating Point),Mandelbrot multi core (Floating Point) Mflops,Sharpen Filter single core (Floating Point),Sharpen Filter single core (Floating Point) Mflops,Sharpen Filter multi core (Floating Point),Sharpen Filter multi core (Floating Point) Mflops,Blur Filter single core (Floating Point),Blur Filter single core (Floating Point) Mflops,Blur Filter multi core (Floating Point),Blur Filter multi core (Floating Point) Mflops,SGEMM single core (Floating Point),SGEMM single core (Floating Point) Gflops,SGEMM multi core (Floating Point),SGEMM multi core (Floating Point) Gflops,DGEMM single core (Floating Point),DGEMM single core (Floating Point) Mflops,DGEMM multi core (Floating Point),DGEMM multi core (Floating Point) Mflops,SFFT single core (Floating Point),SFFT single core (Floating Point) Mflops,SFFT multi core (Floating Point),SFFT multi core (Floating Point) Mflops,DFFT single core (Floating Point),DFFT single core (Floating Point) Mflops,DFFT multi core (Floating Point),DFFT multi core (Floating Point) Mflops,N-Body single core (Floating Point),N-Body single core (Floating Point) Kpairs/sec,N-Body multi core (Floating Point),N-Body multi core (Floating Point) Kpairs/sec,Ray Trace single core (Floating Point),Ray Trace single core (Floating Point) Kpixels/sec,Ray Trace multi core (Floating Point),Ray Trace multi core (Floating Point) Kpixels/sec
Stock,511,1615,514,1892,42,36.9,159,36.9,779,43.8,2925,43.8,841,91.3,3119,91.3,985,42.6,3723,42.6,526,2.14,1883,2.14,555,3.01,1788,3.01,633,8.83,2431,8.83,567,14,2133,14,517,412.8,1968,412.8,760,8.77,2676,8.77,498,18.1,1950,18.1,479,440.7,1870,440.7,660,2.37,2207,2.37,443,1637,434,1.93,1666,1.93,377,387,1491,387,526,390.3,2051,390.3,553,527.8,2166,527.8,526,1.48,1533,1.48,292,429.4,1088,429.4,509,536.9,1933,536.9,328,298.9,1146,298.9,412,153,1542,153,589,695.4,2209,695.4
Stock,562,1749,628,2289,58,51.6,226,51.6,1024,57.5,4049,57.5,1130,122.7,4202,122.7,1337,57.9,5003,57.9,710,2.89,2442,2.89,750,4.07,2682,4.07,822,11.5,2720,11.5,753,18.6,2371,18.6,707,565.1,2712,565.1,736,8.5,2828,8.5,490,17.9,1933,17.9,479,441.6,1796,441.6,657,2.36,2189,2.36,445,1579,438,1.95,1696,1.95,378,387.5,1487,387.5,540,400.7,2109,400.7,541,516.1,2123,516.1,527,1.48,1426,1.48,283,416,1053,416,544,573.8,2064,573.8,330,301,1188,301,412,153.2,1028,153.2,578,682.4,2264,682.4
Stock,580,1860,666,2515,59,51.9,238,51.9,1020,57.3,4028,57.3,1136,123.4,4312,123.4,1313,56.8,5202,56.8,716,2.91,2283,2.91,642,3.48,2241,3.48,844,11.8,3322,11.8,746,18.5,2840,18.5,709,566.2,2741,566.2,1009,11.6,3870,11.6,661,24.1,2644,24.1,638,587.8,2509,587.8,653,2.34,2213,2.34,429,1658,438,1.95,1692,1.95,380,389.5,1482,389.5,534,396.1,2101,396.1,546,520.7,2197,520.7,384,1.08,1565,1.08,285,418.9,1074,418.9,522,550.7,1990,550.7,322,293.6,1172,293.6,407,151.2,1502,151.2,588,693.6,2306,693.6
Power 9,711,2189,806,2741,68,60,269,60,1206,67.7,4554,67.7,1296,140.7,5082,140.7,1505,65.1,5728,65.1,865,3.52,2093,3.52,864,4.69,2441,4.69,1024,14.3,3841,14.3,851,21,3332,21,808,645.5,2893,645.5,1251,14.4,3174,14.4,781,28.4,2980,28.4,749,689.7,2812,689.7,990,3.55,2750,3.55,564,2052,530,2.36,2013,2.36,460,472.1,1790,472.1,678,502.9,2528,502.9,690,657.5,2542,657.5,677,1.9,2048,1.9,382,562.2,1410,562.2,717,756.1,2542,756.1,451,410.8,1542,410.8,507,188.4,1955,188.4,684,807.6,2591,807.6
Power 9,502,1527,492,1831,44,39,170,39,715,40.2,2806,40.2,800,86.9,3192,86.9,922,39.9,3663,39.9,501,2.04,1840,2.04,546,2.96,1875,2.96,608,8.47,2242,8.47,546,13.5,1974,13.5,499,398.5,1786,398.5,719,8.29,2564,8.29,460,16.8,1803,16.8,465,428.7,1739,428.7,627,2.25,2134,2.25,424,1512,410,1.82,1571,1.82,354,363.4,1411,363.4,538,399.3,1952,399.3,520,496.3,1962,496.3,503,1.41,1546,1.41,277,408.1,1049,408.1,498,525.7,1839,525.7,314,286.5,836,286.5,386,143.6,1413,143.6,557,657.4,2094,657.4
Power 9,555,1746,627,2307,52,46.4,220,46.4,950,53.3,3602,53.3,1079,117.2,3968,117.2,1253,54.3,4313,54.3,649,2.64,2393,2.64,681,3.69,2438,3.69,798,11.1,2900,11.1,688,17,2688,17,665,531.4,2385,531.4,935,10.8,3420,10.8,615,22.4,2227,22.4,605,557.3,2231,557.3,621,2.23,2101,2.23,423,1577,408,1.82,1612,1.82,358,367.4,1403,367.4,507,376.3,1998,376.3,537,511.8,2014,511.8,461,1.29,1524,1.29,282,414.4,1047,414.4,518,547.1,1992,547.1,322,293.8,1096,293.8,387,144,1478,144,558,658.1,2035,658.1
Power 8,590,1878,642,2331,53,47.2,194,47.2,920,51.7,3709,51.7,1047,113.7,3912,113.7,1263,54.7,4905,54.7,652,2.65,2450,2.65,693,3.76,2549,3.76,796,11.1,3057,11.1,698,17.3,2532,17.3,683,545.5,2348,545.5,934,10.8,2506,10.8,621,22.6,2418,22.6,594,547.3,2311,547.3,833,2.99,2748,2.99,512,1846,532,2.37,2034,2.37,460,471.5,1775,471.5,639,474.2,2549,474.2,676,644.9,2665,644.9,674,1.89,2061,1.89,377,555.2,1384,555.2,668,705.3,1864,705.3,318,289.8,1108,289.8,388,144.2,1484,144.2,563,664.5,2151,664.5
Power 8,571,1737,642,2247,53,46.9,195,46.9,972,54.6,3573,54.6,1052,114.2,2828,114.2,1165,50.4,4738,50.4,651,2.65,2290,2.65,696,3.77,2562,3.77,798,11.1,2902,11.1,711,17.6,2659,17.6,668,533.5,1759,533.5,951,11,3115,11,621,22.6,2444,22.6,607,558.6,2378,558.6,820,2.94,2769,2.94,446,1614,534,2.38,2044,2.38,460,472.2,1411,472.2,503,373.1,1944,373.1,527,502.8,1976,502.8,502,1.41,1528,1.41,286,421.6,1062,421.6,495,522.8,1924,522.8,317,289.1,1123,289.1,388,144.2,1501,144.2,551,650.8,2064,650.8
Power 8,498,1549,492,1816,45,39.8,166,39.8,733,41.1,2896,41.1,808,87.7,3140,87.7,911,39.4,3721,39.4,503,2.05,1844,2.05,537,2.91,1939,2.91,599,8.35,2273,8.35,524,13,1945,13,502,401.4,1881,401.4,721,8.32,2626,8.32,462,16.8,1901,16.8,461,424.5,1789,424.5,631,2.27,1573,2.27,427,1582,407,1.81,1550,1.81,360,369.4,1410,369.4,509,377.9,1990,377.9,533,508.7,2046,508.7,513,1.44,1571,1.44,287,422.8,1049,422.8,467,492.8,1908,492.8,314,286.7,1151,286.7,395,146.9,1472,146.9,596,702.8,2079,702.8
Power 7,477,1486,472,1721,45,39.8,144,39.8,689,38.7,2738,38.7,780,84.7,2899,84.7,893,38.7,3532,38.7,479,1.95,1775,1.95,496,2.69,1845,2.69,570,7.95,1495,7.95,509,12.6,1942,12.6,482,385.5,1853,385.5,672,7.75,2612,7.75,447,16.3,1733,16.3,450,414.1,1706,414.1,611,2.19,2130,2.19,411,1519,392,1.75,1534,1.75,340,348.6,1340,348.6,482,357.5,1913,357.5,502,478.9,1979,478.9,501,1.4,1418,1.4,280,412.7,961,412.7,450,474.5,1871,474.5,331,301.9,1103,301.9,388,144.2,1459,144.2,527,621.9,2061,621.9
