category,SHA1 single core (Integer) MB/sec,Blur Filter single core (Floating Point) Mflops
Stock,91.3,527.8
Stock,122.7,516.1
Stock,123.4,520.7
Power 9,140.7,657.5
Power 9,86.9,496.3
Power 9,117.2,511.8
Power 8,113.7,644.9
Power 8,114.2,502.8
Power 8,87.7,508.7
Power 7,84.7,478.9
Power 7,117.7,525.6
Power 7,109.9,471.5
Power 6,117,475.9
Power 6,83.3,498.3
Power 6,111.8,478.1
Power 5,99.7,627.7
Power 5,108.7,661.9
Power 5,82.5,477.7
Power 4,85.3,499
Power 4,85,488.9
Power 4,91.4,486.7
Power 3,85.3,489.6
Power 3,94.7,668.6
Power 3,86,493.8
Power 2,79.2,454.6
Power 2,86.1,490.2
Power 2,78.7,489.5
Power 1,86,486.5
Power 1,85.8,489.4
Power 1,91.5,531.5
Power 0,85.9,282.1
Power 0,59.7,296.6
Power 0,63.9,393.9
