Setup,MAX FPS,AVG FPS
Stock,99.67,54.01
Stock,114.87,58.34
Stock,92.50,50.44
Power 9,103.23,55.23
Power 9,90.58,48.97
Power 9,91.02,48.63
Power 8,91.59,48.27
Power 8,98.11,49.26
Power 8,91.98,48.27
Power 7,86.06,47.52
Power 7,85.56,46.97
Power 7,88.26,47.15
Power 6,88.44,47.07
Power 6,88.80,47.26
Power 6,88.86,46.89
Power 5,86.39,47.27
Power 5,87.97,46.71
Power 5,86.12,46.97
Power 4,72.08,32.75
Power 4,61.97,30.83
Power 4,63.39,32.42
Power 3,74.62,31.72
Power 3,71.43,32.00
Power 3,74.98,32.85
Power 2,74.66,30.06
Power 2,74.16,30.81
Power 2,77.97,29.25
Power 1,73.28,30.65
Power 1,67.73,30.14
Power 1,64.89,30.07
Power 0,63.84,22.84
Power 0,59.63,27.88
Power 0,55.14,24.6
